Angle,Strain,Stress
50,0.0,-0.01156783
50,0.0,-0.01817803
50,0.0,-0.01707633
50,0.0,-0.004774027
50,0.0,-0.006426574
50,-0.000501775,-0.01211868
50,-0.000501775,-0.00973167
50,-0.000501775,-0.01266953
50,-0.000501775,-0.009364436
50,-0.000501775,0.004223177
50,-0.001441608,0.02148312
50,-0.001441608,0.04388432
50,-0.002572593,0.06334766
50,-0.002572593,0.08997204
50,-0.002572593,0.1287151
50,-0.002572593,0.1630514
50,-0.002572593,0.1966532
50,-0.002572593,0.2377832
50,-0.002373476,0.2798314
50,-0.002373476,0.3259191
50,-0.002373476,0.358052
50,-0.002373476,0.3876142
50,-0.002373476,0.4197471
50,0.000342481,0.4608772
50,0.000342481,0.4959479
50,0.004603587,0.5249593
50,0.004603587,0.5543379
50,0.004603587,0.5875725
50,0.004603587,0.6272337
50,0.004603587,0.6639569
50,0.004603587,0.6918666
50,0.008936374,0.7262028
50,0.008936374,0.7530109
50,0.008936374,0.7803698
50,0.008936374,0.8207653
50,0.008936374,0.8584067
50,0.0140736,0.8964153
50,0.0140736,0.9360765
50,0.0140736,0.9649042
50,0.0140736,0.9915286
50,0.02027012,1.015582
50,0.02027012,1.044961
50,0.02027012,1.08297
50,0.02027012,1.12006
50,0.02651443,1.14595
50,0.02651443,1.174961
50,0.02651443,1.208196
50,0.02651443,1.246572
50,0.02651443,1.281275
50,0.03279857,1.308634
50,0.03279857,1.343705
50,0.03889951,1.378041
50,0.03889951,1.4054
50,0.03889951,1.439369
50,0.03889951,1.47701
50,0.03889951,1.507858
50,0.03889951,1.544214
50,0.04411638,1.564779
50,0.04411638,1.588098
50,0.04411638,1.616559
50,0.04411638,1.652364
50,0.04411638,1.67807
50,0.04948458,1.708183
50,0.04948458,1.73187
50,0.05552181,1.757944
50,0.05552181,1.78824
50,0.05552181,1.808254
50,0.05552181,1.838
50,0.05552181,1.869031
50,0.05552181,1.891433
50,0.0609139,1.915119
50,0.0609139,1.93954
50,0.0609139,1.966164
50,0.0609139,1.984342
50,0.06621838,2.0106
50,0.06621838,2.041998
50,0.06621838,2.0756
50,0.07176179,2.101122
50,0.07176179,2.126645
50,0.07176179,2.159329
50,0.07176179,2.199358
50,0.07176179,2.226165
50,0.07176179,2.265643
50,0.07694681,2.296307
50,0.07694681,2.332663
50,0.07694681,2.371773
50,0.07694681,2.407395
50,0.07694681,2.450177
50,0.08212385,2.490389
50,0.08212385,2.526011
50,0.08765134,2.564387
50,0.08765134,2.60111
50,0.08765134,2.635446
50,0.08765134,2.675291
50,0.08765134,2.715136
50,0.08765134,2.752226
50,0.09338591,2.793907
50,0.09338591,2.828978
50,0.09338591,2.866987
50,0.09338591,2.907566
50,0.09955855,2.94943
50,0.09955855,2.990193
50,0.09955855,3.029671
50,0.1052294,3.07429
50,0.1052294,3.114685
50,0.1052294,3.137086
50,0.1052294,3.181154
50,0.1052294,3.223753
50,0.1052294,3.251663
50,0.1101755,3.293528
50,0.1101755,3.343471
50,0.1101755,3.380929
50,0.1101755,3.418203
50,0.1157269,3.452172
50,0.1157269,3.491833
50,0.1157269,3.532596
50,0.1217402,3.57391
50,0.1217402,3.613204
50,0.1217402,3.658557
50,0.1217402,3.694913
50,0.1217402,3.729984
50,0.1217402,3.767809
50,0.1276022,3.814447
50,0.1276022,3.848233
50,0.1276022,3.891933
50,0.1276022,3.927739
50,0.1339421,3.960055
50,0.1339421,4.002287
50,0.1339421,4.044335
50,0.1402342,4.086566
50,0.1402342,4.116129
50,0.1402342,4.145324
50,0.1402342,4.196002
50,0.1402342,4.240804
50,0.1402342,4.285791
50,0.1456103,4.320311
50,0.1456103,4.356299
50,0.1456103,4.394491
50,0.1456103,4.430847
50,0.1510582,4.466836
50,0.1510582,4.500805
50,0.1510582,4.540834
50,0.1574379,4.582515
50,0.1574379,4.615566
50,0.1574379,4.660552
50,0.1574379,4.691399
50,0.1574379,4.737303
50,0.1574379,4.776413
50,0.1631884,4.811484
50,0.1631884,4.843801
50,0.1631884,4.884013
50,0.1631884,4.927346
50,0.1676964,4.969395
50,0.1676964,5.00318
50,0.1676964,5.037149
50,0.1720133,5.070751
50,0.1720133,5.112064
50,0.1720133,5.153929
50,0.1720133,5.197079
50,0.1720133,5.233252
50,0.1720133,5.267587
50,0.1768319,5.313308
50,0.1768319,5.351133
50,0.1768319,5.38345
50,0.1768319,5.425498
50,0.1827417,5.464791
50,0.1827417,5.508492
50,0.1827417,5.547786
50,0.1891931,5.588732
50,0.1891931,5.616275
50,0.1891931,5.6541
50,0.1891931,5.697617
50,0.1891931,5.732137
50,0.1891931,5.767391
50,0.1948719,5.80999
50,0.1948719,5.853875
50,0.1948719,5.889129
50,0.1948719,5.931361
50,0.2004153,5.969553
50,0.2004153,6.010683
50,0.2004153,6.055119
50,0.2066835,6.087068
50,0.2066835,6.123607
50,0.2066835,6.156842
50,0.2066835,6.199992
50,0.2066835,6.243325
50,0.2066835,6.274724
50,0.212211,6.304653
50,0.212211,6.339356
50,0.212211,6.386913
50,0.212211,6.424554
50,0.2173084,6.462747
50,0.2173084,6.499286
50,0.2173084,6.536561
50,0.2229474,6.569428
50,0.2229474,6.605784
50,0.2229474,6.643976
50,0.2229474,6.686208
50,0.2229474,6.718708
50,0.2229474,6.762409
50,0.2283634,6.799867
50,0.2283634,6.833284
50,0.2283634,6.883412
50,0.2283634,6.919952
50,0.2336281,6.952635
50,0.2336281,6.984952
50,0.2336281,7.021124
50,0.239052,7.062071
50,0.239052,7.091449
50,0.239052,7.134783
50,0.239052,7.160856
50,0.239052,7.196661
50,0.239052,7.241647
50,0.2442529,7.280023
50,0.2442529,7.314544
50,0.2442529,7.346125
50,0.2442529,7.381563
50,0.2493344,7.417185
50,0.2493344,7.458682
50,0.2493344,7.499078
50,0.2546628,7.538922
50,0.2546628,7.573809
50,0.2546628,7.609064
50,0.2546628,7.638626
50,0.2546628,7.670759
50,0.2546628,7.713542
50,0.2598159,7.749347
50,0.2598159,7.784418
50,0.2598159,7.817101
50,0.2598159,7.853457
50,0.2651125,7.88963
50,0.2651125,7.926537
50,0.2651125,7.968217
50,0.2706957,8.000717
50,0.2706957,8.036523
50,0.2706957,8.073063
50,0.2706957,8.116213
50,0.2706957,8.149446
50,0.2706957,8.188925
50,0.2756179,8.22473
50,0.2756179,8.255027
50,0.2756179,8.293219
50,0.2756179,8.318742
50,0.2809701,8.360239
50,0.2809701,8.39329
50,0.2869118,8.427626
50,0.2869118,8.469307
50,0.2869118,8.498502
50,0.2869118,8.526778
50,0.2869118,8.569011
50,0.2869118,8.603531
50,0.2869118,8.639152
50,0.2918101,8.677711
50,0.2918101,8.707457
50,0.2918101,8.740141
50,0.2918101,8.775763
50,0.2962066,8.817444
50,0.2962066,8.853249
50,0.3009057,8.890706
50,0.3009057,8.926144
50,0.3009057,8.962868
50,0.3009057,8.999224
50,0.3009057,9.03099
50,0.3009057,9.067162
50,0.3009057,9.106639
50,0.3054456,9.138221
50,0.3054456,9.173475
50,0.3054456,9.210382
50,0.3054456,9.238109
50,0.3101766,9.267671
50,0.3101766,9.311372
50,0.3101766,9.346442
50,0.3151546,9.3839
50,0.3151546,9.414013
50,0.3151546,9.445229
50,0.3151546,9.478646
50,0.3151546,9.514268
50,0.3151546,9.54989
50,0.3197263,9.579636
50,0.3197263,9.612319
50,0.3197263,9.647205
50,0.3197263,9.689621
50,0.3244573,9.726712
50,0.3244573,9.751684
50,0.3296821,9.784552
50,0.3296821,9.824213
50,0.3296821,9.859099
50,0.3296821,9.901698
50,0.3296821,9.935117
50,0.3296821,9.963944
50,0.3296821,9.994058
50,0.3343893,10.02509
50,0.3343893,10.05943
50,0.3343893,10.10202
50,0.3343893,10.12589
50,0.3389849,10.15564
50,0.3389849,10.19824
50,0.3438672,10.23239
50,0.3438672,10.26177
50,0.3438672,10.29813
50,0.3438672,10.32457
50,0.3438672,10.35688
50,0.3438672,10.3971
50,0.3438672,10.43253
50,0.3485107,10.47403
50,0.3485107,10.51369
50,0.3485107,10.53169
50,0.3485107,10.56106
50,0.3534169,10.60587
50,0.3534169,10.64112
50,0.3584665,10.67289
50,0.3584665,10.70814
50,0.3584665,10.74486
50,0.3584665,10.77718
50,0.3584665,10.81078
50,0.3584665,10.84512
50,0.3626958,10.88423
50,0.3626958,10.92004
50,0.3626958,10.94556
50,0.3626958,10.98026
50,0.3626958,11.00652
50,0.366917,11.0414
50,0.366917,11.08456
50,0.3714171,11.1121
50,0.3714171,11.15341
50,0.3714171,11.18995
50,0.3714171,11.22925
50,0.3714171,11.26248
50,0.3714171,11.28653
50,0.3753596,11.32583
50,0.3753596,11.36751
50,0.3753596,11.39542
50,0.3753596,11.43269
50,0.3753596,11.4707
50,0.3793579,11.50449
50,0.3793579,11.53699
50,0.3836429,11.57389
50,0.3836429,11.60419
50,0.3836429,11.63559
50,0.3836429,11.66497
50,0.3836429,11.70371
50,0.3836429,11.73548
50,0.3878084,11.77036
50,0.3878084,11.80305
50,0.3878084,11.84454
50,0.3878084,11.87631
50,0.3878084,11.91175
50,0.392404,11.94792
50,0.392404,11.99291
50,0.397358,12.02375
50,0.397358,12.04873
50,0.397358,12.08141
50,0.397358,12.11776
50,0.397358,12.1532
50,0.397358,12.19286
50,0.4016192,12.22738
50,0.4016192,12.26172
