Fill,Strain,Stress
60,0,-0.002593127
60,0,-0.002593127
60,0,-0.002593127
60,-0.000489294,-0.002593127
60,-0.000489294,-0.002593127
60,-0.000489294,-0.002593127
60,-0.000605793,-0.002593127
60,-0.000605793,-0.002593127
60,-0.000605793,-0.002593127
60,-0.000605793,-0.002593127
60,-0.000605793,-0.002593127
60,-0.000559193,-0.002593127
60,-0.000559193,-0.002593127
60,-0.000559193,-0.002593127
60,-0.000559193,-0.002593127
60,-0.00052036,-0.002593127
60,-0.00052036,-0.002593127
60,-0.00052036,-0.002593127
60,-0.000302896,-0.002593127
60,-0.000302896,-0.002593127
60,-0.000302896,-0.002593127
60,-0.000302896,-0.002593127
60,-0.000302896,-0.002593127
60,-0.000302896,-0.002593127
60,-5.44E-05,-0.002593127
60,-5.44E-05,-0.002593127
60,-5.44E-05,-0.002593127
60,-5.44E-05,-0.002593127
60,-5.44E-05,-0.002593127
60,0.000100966,-0.002593127
60,0.000100966,-0.002593127
60,0.000124265,-0.002593127
60,0.000124265,-0.002593127
60,0.000124265,-0.002593127
60,0.000124265,-0.002593127
60,0.000124265,-0.002593127
60,0.000124265,-0.002593127
60,0,-0.002593127
60,0,-0.002593127
60,0,-0.002593127
60,0,-0.002593127
60,-3.88E-05,-0.002593127
60,-3.88E-05,-0.002593127
60,-3.88E-05,-0.002593127
60,-3.88E-05,-0.002593127
60,0.000256297,-0.002593127
60,0.000256297,-0.002593127
60,0.000256297,-0.002593127
60,0.000256297,-0.002593127
60,0.000256297,-0.002593127
60,0.000660159,-0.002593127
60,0.000660159,-0.002593127
60,0.000660159,-0.002593127
60,0.000660159,-0.002160939
60,0.001763012,-0.002160939
60,0.001763012,-0.002160939
60,0.001763012,-0.002160939
60,0.003199828,-0.002160939
60,0.003199828,-0.002160939
60,0.003199828,-0.002160939
60,0.003199828,-0.002160939
60,0.003199828,-0.002160939
60,0.003199828,-0.002160939
60,0.00417065,-0.002160939
60,0.00417065,-0.002160939
60,0.00417065,-0.002160939
60,0.00417065,-0.002160939
60,0.00417065,0.02701174
60,0.005094872,0.07952256
60,0.005094872,0.0816835
60,0.005964728,0.08470881
60,0.005964728,0.07584897
60,0.005964728,0.07541678
60,0.005964728,0.07520068
60,0.005964728,0.08686975
60,0.005964728,0.08708585
60,0.006834584,0.09313647
60,0.006834584,0.1002676
60,0.006834584,0.09443304
60,0.006834584,0.1084791
60,0.00802287,0.1115045
60,0.00802287,0.09335257
60,0.00802287,0.08924679
60,0.009583951,0.09551352
60,0.009583951,0.09637788
60,0.009583951,0.09853882
60,0.009583951,0.1097757
60,0.009583951,0.1140976
60,0.009583951,0.1112884
60,0.0111528,0.1203643
60,0.0111528,0.138084
60,0.0111528,0.1385162
60,0.0111528,0.1201482
60,0.01219352,0.1233896
60,0.01219352,0.1322495
60,0.01219352,0.1307368
60,0.01272165,0.1383001
60,0.01272165,0.1313851
60,0.01272165,0.1313851
60,0.01272165,0.1437025
60,0.01272165,0.1428381
60,0.01272165,0.1408932
60,0.01367693,0.1488887
60,0.01367693,0.1579647
60,0.01367693,0.1579647
60,0.01367693,0.1553715
60,0.01367693,0.16099
60,0.01509822,0.1622865
60,0.01509822,0.1670406
60,0.01607681,0.1670406
60,0.01607681,0.1573164
60,0.01607681,0.1607739
60,0.01607681,0.1713625
60,0.01607681,0.1763326
60,0.01607681,0.181735
60,0.01651173,0.1877856
60,0.01651173,0.1929719
60,0.01651173,0.2005351
60,0.01651173,0.1875695
60,0.01753692,0.191027
60,0.01753692,0.195565
60,0.01753692,0.1953489
60,0.0196805,0.1959972
60,0.0196805,0.1970776
60,0.0196805,0.204857
60,0.0196805,0.2124203
60,0.0196805,0.2147973
60,0.0196805,0.2126364
60,0.02205707,0.2167422
60,0.02205707,0.2115559
60,0.02205707,0.2240894
60,0.02205707,0.2219284
60,0.02410744,0.2184709
60,0.02410744,0.2219284
60,0.02510156,0.2147973
60,0.02510156,0.2147973
60,0.02510156,0.2184709
60,0.02510156,0.21631
60,0.02510156,0.2234411
60,0.02510156,0.2361906
60,0.02510156,0.2299239
60,0.02557532,0.2359746
60,0.02557532,0.2441861
60,0.02557532,0.2394321
60,0.02557532,0.2506689
60,0.02703544,0.2632024
60,0.02703544,0.2539104
60,0.02703544,0.250885
60,0.02940425,0.2683886
60,0.02940425,0.2632024
60,0.02940425,0.2632024
60,0.02940425,0.2657955
60,0.02940425,0.2603932
60,0.02940425,0.2681725
60,0.03157112,0.2705496
60,0.03157112,0.2735749
60,0.03157112,0.2722783
60,0.03157112,0.2696852
60,0.03297687,0.280706
60,0.03297687,0.287621
60,0.03297687,0.2724944
60,0.03324093,0.2813543
60,0.03324093,0.2917268
60,0.03324093,0.2897819
60,0.03324093,0.2867566
60,0.03324093,0.2941038
60,0.03324093,0.2988579
60,0.03371469,0.3057729
60,0.03371469,0.3092304
60,0.03371469,0.3090143
60,0.03371469,0.3042603
60,0.0358272,0.2966969
60,0.0358272,0.3124718
60,0.03839793,0.3033959
60,0.03839793,0.3124718
60,0.03839793,0.3215477
60,0.03839793,0.3224121
60,0.03839793,0.3167937
60,0.03839793,0.3135523
60,0.03839793,0.324357
60,0.04010658,0.3310559
60,0.04010658,0.338187
60,0.04010658,0.3321364
60,0.04010658,0.3371065
60,0.04160553,0.3472629
60,0.04160553,0.3485595
60,0.04160553,0.3409962
60,0.04311224,0.3535297
60,0.04311224,0.3530974
60,0.04311224,0.3483434
60,0.04311224,0.3511526
60,0.04311224,0.3459663
60,0.04311224,0.356555
60,0.0441685,0.3656309
60,0.0441685,0.3671436
60,0.0441685,0.3649826
60,0.0441685,0.3760034
60,0.04530242,0.3790287
60,0.04530242,0.3831345
60,0.04530242,0.3742747
60,0.0469101,0.3716815
60,0.0469101,0.3820541
60,0.0469101,0.3816218
60,0.0469101,0.3779483
60,0.0469101,0.3777322
60,0.0469101,0.379677
60,0.04799742,0.3891852
60,0.04799742,0.3991255
60,0.04799742,0.3952357
60,0.04799742,0.4006381
60,0.04851778,0.4062566
60,0.04851778,0.4015025
60,0.04925561,0.3928587
60,0.04925561,0.398045
60,0.04925561,0.4023668
60,0.04925561,0.4075531
60,0.04925561,0.4107945
60,0.04925561,0.4092819
60,0.04925561,0.4222475
60,0.05063029,0.4293786
60,0.05063029,0.4330522
60,0.05063029,0.4313235
60,0.05063029,0.4276499
60,0.052603,0.423328
60,0.052603,0.4146842
60,0.052603,0.4192222
60,0.05454464,0.4321878
60,0.05454464,0.4378063
60,0.05454464,0.4391029
60,0.05454464,0.44645
60,0.05454464,0.4512041
60,0.05598922,0.4492593
60,0.05598922,0.4388867
60,0.05598922,0.4553099
60,0.05598922,0.4598479
60,0.05598922,0.455526
60,0.05756584,0.4499075
60,0.05756584,0.457903
60,0.05756584,0.4615766
60,0.05932109,0.4736778
60,0.05932109,0.4680594
60,0.05932109,0.4613605
60,0.05932109,0.4725974
60,0.05932109,0.4771354
60,0.060688,0.4784319
60,0.060688,0.4805929
60,0.060688,0.4825377
60,0.060688,0.4842665
